date,read_bytes,write_bytes
2016-07-28,199962995910964.0,189830449908690.0
2016-07-29,256333451137835.0,242370993295430.0
2016-07-30,135615577404431.0,159968567849152.0
2016-07-31,28923876924129.1,107360527120917.0
2016-08-01,100155251985257.0,175795019524766.0
2016-08-02,141740779795660.0,243491100816477.0
2016-08-03,127949965448883.0,344775796624285.0
2016-08-04,248446050526678.0,283684749668888.0
2016-08-05,330458188960006.0,248800882992683.0
2016-08-06,78223308735878.2,152720698271667.0
2016-08-07,105190311692241.0,142141660818792.0
2016-08-08,192504796965642.0,217415944265835.0
2016-08-09,0.0,0.0
2016-08-10,290191210992976.0,375354200416809.0
2016-08-11,367667615664074.0,316099625531726.0
2016-08-12,399352374701820.0,237400327479482.0
2016-08-13,72234982556770.4,120058215785805.0
2016-08-14,97009752382044.7,64586360902989.8
2016-08-15,0.0,0.0
2016-08-17,310917509054093.0,351806251205791.0
2016-08-18,244250090108510.0,308201488884298.0
2016-08-19,145374465363383.0,276396205048861.0
2016-08-20,65914021648958.4,129425118278748.0
2016-08-21,226135413378221.0,158398159370265.0
2016-08-22,423469828183353.0,230403685678573.0
2016-08-23,164009892482960.0,119492769264917.0
2016-08-24,473650737547541.0,318888966948891.0
2016-08-25,518964914067659.0,303346103312432.0
2016-08-26,451913248155824.0,446399324794169.0
2016-08-27,148960401333202.0,310294526731820.0
2016-08-28,55615129610468.4,252589605720187.0
2016-08-29,298681383208162.0,303980170328802.0
2016-08-30,67819137094624.5,127945826849274.0
2016-08-31,416014988777565.0,451737638370473.0
2016-09-01,193340121968674.0,86632946915728.7
2016-09-02,0.0,0.0
2016-09-03,0.0,0.0
2016-09-04,0.0,0.0
2016-09-05,93917078488576.4,538951292367991.0
2016-09-06,260979258867334.0,461593773286226.0
2016-09-07,107986644883010.0,227244601542916.0
2016-09-08,316803939490710.0,255573316055853.0
2016-09-09,213305736388192.0,795590115265845.0
2016-09-10,133302792521107.0,624581586248816.0
2016-09-11,110142622120021.0,346862113777685.0
2016-09-12,343607809846177.0,320853973315708.0
2016-09-13,151625271443162.0,244289143605760.0
2016-09-14,300053282899833.0,334489207078033.0
2016-09-15,277972416283474.0,233995282554606.0
2016-09-16,30231881612962.7,60368466361327.4
2016-09-28,7651993182973.93,8192930790132.44
